Severity,Temperature.F.,Wind_Chill.F.,Humidity...,Pressure.in.,Visibility.mi.,Wind_Direction,Wind_Speed.mph.,Precipitation.in.,Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Time_Of_Day,Month
2,89.1,94.1031196847105,52,29.99,10,20,4.6,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,3,9
3,51.1,48.51503702105,71,30.13,10,1,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10
2,89.1,94.7250653035312,61,30.01,10,15,15,0,32,0,0,0,0,0,0,0,0,0,0,0,1,0,3,7
2,71.1,72.6180186258989,38,30.02,10,1,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11
2,72.4858974358974,74.288231646081,67,30.06,9.84287338893101,2,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8
3,60.1,59.361378743232,72,30.07,10,1,7,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9
2,78.8,81.7717758231709,83,29.91,10,22,9.2,0,22,0,0,0,0,1,0,0,0,0,0,0,0,0,4,9
2,64,64.0614601561775,46,29.86,10,1,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10
3,69.1,70.7585311560169,87,30.11,10,9,4.6,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10
2,59,58.0357147549653,87,29.83,6,1,7,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6
3,79.2,82.6508841673393,69,29.82,10,12,3.5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7
3,87.1,91.8403008613919,11,29.97,10,23,5.8,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4
2,69.1,70.207720465414,57,30.09,9.83910891089109,11,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10
2,68.5,69.7462983033327,81,30.2,10,16,5.8,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8
3,76.1217391304348,78.6699629201599,67,29.43,10.0018214936248,18,7,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7
2,88,93.1519877043825,65,30.06,10,5,10.4,0,28,0,0,1,0,0,0,0,0,0,0,0,1,0,3,9
2,72.7,74.3955899048667,96,29.94,10,15,8.1,0,31,0,0,0,0,0,0,0,0,0,0,0,1,0,4,10
3,46.9,42.9469582837625,34,30.23,10,23,8.1,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11
2,53.1,50.5043813865085,61,30.14,10,23,8.1,0,36,0,0,0,0,1,0,0,0,0,0,0,0,0,4,11
4,84.2,88.4532513780088,40,30.02,10,11,16.1,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9
2,77,79.9796436248509,29,30.18,10,18,4.6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10
2,45,39.2999332846966,90,29.89,5,5,11.5,0.02,20,0,0,1,0,0,0,0,0,0,0,0,1,0,4,12
2,82,85.7117325240445,60,29.94,10,17,9.2,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7
2,39,28.9988349776072,57,29.54,10,22,20.7,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12
2,57.9,56.0389336205902,93,30.19,3,9,9.2,0.05,20,0,0,1,0,0,0,0,0,0,0,0,0,0,4,9
2,98.6,105.739520913563,13,29.83,10,22,6.9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6
2,51.1,46.9456681205381,59,29.95,10,18,11.5,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11
2,36,30.9944815469437,37,29.02,10,21,6,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12
3,86,90.4292719715384,25,29.96,7,12,3.5,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8
3,72,73.3993678338145,73,29.93,10,17,9.2,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7
3,55,51.298483032528,89,30.16,10,12,13.8,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10
3,94.6,100.749172860609,43,29.96,10,20,5.8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
2,57,54.9308207984695,74,30.1,10,5,9.2,0,36,0,0,0,0,0,0,0,0,0,0,0,1,0,4,12
